company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
Bread Financial Holdings,670,,4230,801,,Business Services,Columbus,OH,no,no,no,yes
Voya Financial,670,,4230,2126,,Financials,New York,NY,no,no,no,yes
Weis Markets,672,,4224.4,108.8,,Food & Drug Stores,Sunbury,PA,no,no,no,yes
Flowers Foods,664,,4330.8,206.2,,"Food, Beverages & Tobacco",Thomasville,GA,no,no,no,yes
BlueLinx Holdings,665,,4277.2,296.1,,Wholesalers,Marietta,GA,no,no,no,yes
Palo Alto Networks,666,,4256.1,-498.9,,Technology,Santa Clara,CA,no,no,no,no
Maximus,667,,4254.5,291.2,,Technology,Reston,VA,no,no,no,yes
American National Group,660,,4391.8,699.3,,Financials,Galveston,TX,no,no,no,yes
Autodesk,661,,4386.4,497,,Technology,San Rafael,CA,no,no,no,yes
Domino's Pizza,662,,4357.4,510.5,,"Hotels, Restaurants & Leisure",Ann Arbor,MI,no,no,no,yes
ASGN,663,,4333.8,409.9,,Business Services,Glen Allen,VA,no,no,no,yes
PennyMac Financial Services,655,,4450.2,1003.5,,Financials,Westlake Village,CA,no,no,no,yes
Digital Realty Trust,656,,4427.9,1709.3,,Financials,Austin,TX,no,no,no,yes
TreeHouse Foods,657,,4405.5,-12.5,,"Food, Beverages & Tobacco",Oak Brook,IL,no,no,no,no
Ralph Lauren,658,,4400.8,-121.1,,Apparel,New York,NY,no,no,no,no
TriNet Group,649,,4540,338,,Business Services,Dublin,CA,no,no,no,yes
Sentry Insurance Group,650,,4526.2,739.9,,Financials,Stevens Point,WI,no,no,no,yes
Illumina,651,,4526,762,,Technology,San Diego,CA,no,no,no,yes
Iron Mountain,652,,4491.5,450.2,,Business Services,Boston,MA,no,no,no,yes
LCI Industries,653,,4472.7,287.7,,Motor Vehicles & Parts,Elkhart,IN,no,no,no,yes
Covetrus,643,,4575,-54,,Health Care,Portland,ME,no,no,no,no
Crestwood Equity Partners,644,,4569,-78.5,,Energy,Houston,TX,no,yes,no,no
Louisiana-Pacific,645,,4553,1377,,Materials,Nashville,TN,no,no,no,yes
Urban Outfitters,646,,4548.8,310.6,,Retailing,Philadelphia,PA,no,yes,no,yes
Penn Mutual Life Insurance,647,,4545.6,522.9,,Financials,Horsham,PA,no,no,no,yes
Amerco,648,,4542,610.9,,Transportation,Reno,NV,no,no,no,yes
Tutor Perini,638,,4641.8,91.9,,Engineering & Construction,Sylmar,CA,no,no,no,yes
Antero Resources,639,,4619.4,-186.9,,Energy,Denver,CO,no,yes,no,no
Teledyne Technologies,640,,4614.3,445.3,,Aerospace & Defense,Thousand Oaks,CA,no,no,no,yes
Snap-on,641,,4601.7,820.5,,Industrials,Kenosha,WI,no,no,no,yes
